Cell1	Cell2	Jaccard	shared_egenes
CD4	CD4	1	1090
CD4	CD8	0.32258064516129	376
CD4	NK	0.200168208578638	243
CD4	cMono	0.182100683654444	297
CD4	ncMono	0.0729991204925242	83
CD4	B	0.112888888888889	128
CD8	CD4	0.32258064516129	376
CD8	CD8	1	471
CD8	NK	0.336492890995261	213
CD8	cMono	0.169026548672566	192
CD8	ncMono	0.121052631578947	69
CD8	B	0.193950177935943	110
NK	CD4	0.200168208578638	243
NK	CD8	0.336492890995261	213
NK	NK	1	379
NK	cMono	0.137707948243993	149
NK	ncMono	0.148535564853556	71
NK	B	0.197938144329897	96
cMono	CD4	0.182100683654444	297
cMono	CD8	0.169026548672566	192
cMono	NK	0.137707948243993	149
cMono	cMono	1	861
cMono	ncMono	0.153153153153153	136
cMono	B	0.0909090909090909	88
ncMono	CD4	0.0729991204925242	83
ncMono	CD8	0.121052631578947	69
ncMono	NK	0.148535564853556	71
ncMono	cMono	0.153153153153153	136
ncMono	ncMono	1	171
ncMono	B	0.133333333333333	44
B	CD4	0.112888888888889	128
B	CD8	0.193950177935943	110
B	NK	0.197938144329897	96
B	cMono	0.0909090909090909	88
B	ncMono	0.133333333333333	44
B	B	1	203
