Cell	INFECTION_SEVERITY	pval	beta	pval_BH
cMono	0	2.01204624660597e-05	-1.7766037825171	5.03011561651493e-05
cMono	1	0.00011192846540137	-1.74572051218785	0.00011192846540137
cMono	2	6.5478883428474e-05	-1.31739525802567	8.25033901974129e-05
cMono	3	1.52175372475688e-10	-1.28839667478371	7.6087686237844e-10
cMono	4	6.60027121579303e-05	-0.646652523129861	8.25033901974129e-05
NK	0	4.57448368738964e-05	-2.20226361047575	7.62413947898273e-05
NK	1	9.65249649389479e-05	-1.86002582256228	0.000107249961043275
NK	2	1.34170918163416e-06	-0.93190788470826	4.47236393878053e-06
NK	3	6.27944201584599e-11	-1.25971596302761	6.27944201584599e-10
NK	4	4.10020415790479e-05	-0.961598220202445	7.62413947898273e-05
